gene_id,gene_name,logFC,logCPM,PValue,FDR,seqnames,start,end,width,strand,entrezid,aveLen,maxLen,aveGc,longestGc,LR,DE,Status
ENSMUSG00000029603,Dtx1,-2.44160378411396,7.8634818291616755,4.8052469569478227e-26,4.2534444313916473e-23,5,120680202,120711927,31726,-,14357,1790.8333333333333,4035,59.76733364355512,62.453531598513,111.41261940110823,TRUE,DE
ENSMUSG00000027111,Itga6,-0.5863959519723504,8.2038927046237209,1.0773410472491828e-25,8.802705079908323e-23,2,71745616,71858416,112801,+,16403,2363.3333333333335,4310,47.3389750822755,48.8863109048724,109.81209345778757,TRUE,DE
ENSMUSG00000039899,Fgl2,1.2818683550456067,7.557220067368576,1.1852243064731183e-25,8.992466130969616e-23,5,21372642,21378374,5733,+,14190,3788,3788,40.5755015839493,40.5755015839493,109.62291553323908,TRUE,DE
ENSMUSG00000022015,Tnfsf11,0.9918685343854989,5.516914916120463,2.851953860114791e-25,2.019563593475954e-22,14,78277445,78308043,30599,-,21943,2236,2236,44.9016100178891,44.9016100178891,107.8824931583385,TRUE,DE
ENSMUSG00000044162,Tnip3,-1.7513983430048736,2.6798145878075474,4.2552869985157266e-23,2.824978656139628e-20,6,65525313,65634040,108728,+,414084,1969.375,4627,40.53951126626467,36.7192565377134,97.96646328694345,TRUE,DE
ENSMUSG00000001542,Ell2,1.2007046469185219,4.730270413931632,7.649697827286538e-21,4.779711195378683e-18,13,75706757,75772364,65608,+,192657,1685.888888888889,5126,43.16878666051538,40.2262973078424,87.69164146418498,TRUE,DE
ENSMUSG00000028494,Plin2,1.3284546177673207,5.670434635673395,1.379924438577069e-20,8.143087436980904e-18,4,86648386,86670060,21675,-,11520,861,1888,51.00174216027875,52.0656779661017,86.52484976415744,TRUE,DE
ENSMUSG00000027238,Frmd5,1.0666698589796324,6.923507981720226,1.5842660133850215e-20,8.856880839039842e-18,2,121545529,121807087,261559,-,228564,2004.923076923077,4230,51.02056476365868,49.4562647754137,86.25175676715573,TRUE,DE
ENSMUSG00000060147,Serpinb6a,1.4626097216630614,6.213305943407509,2.1264718223228882e-20,1.129369184835686e-17,13,33917918,34002794,84877,-,20719,986.5882352941177,2191,49.69592177438587,39.9817434961205,85.66969303963515,TRUE,DE
ENSMUSG00000024054,Smchd1,-0.5455768164758301,7.640928533131444,2.6797837161642916e-20,1.3554601253855764e-17,17,71344489,71475343,130855,-,74355,2016.5833333333333,7052,42.324062977809,42.2433352240499,85.21238306240097,TRUE,DE
ENSMUSG00000031442,Mcf2l,1.911908294618937,2.8252941598866195,3.8635045568655073e-19,1.8653702455920645e-16,8,12873806,13020905,147100,+,17207,2658.391304347826,6081,55.088889979229,53.6424930110179,79.93796916132715,TRUE,DE
ENSMUSG00000027540,Ptpn1,-0.5466934582311624,8.21212396550056,6.667662162640631e-19,3.079300325720382e-16,2,167932057,167979385,47329,+,19246,1662.857142857143,4292,55.54123711340206,55.6150978564772,78.85983652541815,TRUE,DE
ENSMUSG00000021200,Asb2,1.596865074501627,5.5137423766720755,1.592083360461059e-18,7.046295606173903e-16,12,103321142,103356001,34860,-,65256,1938.75,2690,58.684719535783366,59.4423791821561,77.14062794467912,TRUE,DE
ENSMUSG00000024659,Anxa1,2.405010023951052,3.8833095569122618,1.989987671110076e-18,8.455059617012491e-16,19,20373428,20390944,17517,-,16952,923.875,1674,43.26884048166689,43.6081242532855,76.70004566522755,TRUE,DE
ENSMUSG00000047898,Ccr4,0.8190438369629324,7.094660796871574,2.881788573240461e-18,1.177321470190776e-15,9,114490316,114504916,14601,-,12773,1508.6666666666667,2805,48.652231551038454,46.6666666666667,75.96882358256974,TRUE,DE
ENSMUSG00000025245,Lztfl1,0.971330208750362,4.470271921093706,3.5018684630005406e-18,1.3776609931108051e-15,9,123694416,123717697,23282,-,93730,2135.9166666666665,6541,37.66142561741641,37.4713346583091,75.58400489890383,TRUE,DE
ENSMUSG00000045095,Magi1,0.9379496473943416,4.738669870325247,8.806496305307535e-18,3.340807276963451e-15,6,93675455,94283917,608463,-,14924,3792.909090909091,7929,50.46258568620871,49.9432463110102,73.76338787440635,TRUE,DE
ENSMUSG00000039286,Fndc3b,1.7365069247198348,1.8783628426331012,1.4945583256332073e-17,5.474206391336527e-15,3,27416162,27711307,295146,-,72007,4974.25,6886,47.781072523496,47.2553006099332,72.71942448184095,TRUE,DE (not in Spleen)
ENSMUSG00000027947,Il6ra,-0.8339758169288303,6.773457259955382,1.7021230582129044e-17,6.026650374779157e-15,3,89864059,89913196,49138,-,16194,5991,8639,51.101652478718094,50.387776363005,72.46277749363766,TRUE,DE
ENSMUSG00000029752,Asns,2.5820910764779943,2.82413133451976,2.452801329534864e-17,8.404405071715911e-15,6,7675169,7693254,18086,-,27053,985.4285714285714,2016,49.28964917367352,47.6686507936508,71.74180806844586,TRUE,DE
ENSMUSG00000028392,Bspry,0.9172784574840305,4.617190224542181,2.830037045743218e-17,9.393954218713894e-15,4,62480053,62497298,17246,+,192120,1521.3333333333333,2167,58.91761612620506,57.4065528380249,71.45952928072766,TRUE,DE
ENSMUSG00000050271,Prag1,-1.9033038869583183,4.9738918683003535,3.7974346120923655e-17,1.1973982702188432e-14,8,36094828,36147787,52960,+,244418,4227.666666666667,4780,54.11180320113538,58.5355648535565,70.87939445222206,TRUE,DE
ENSMUSG00000046908,Ltb4r1,1.9831915013934318,5.505821208438976,3.8327566548145985e-17,1.1973982702188432e-14,14,55765962,55768494,2533,+,16995,1394,1394,57.819225251076,57.819225251076,70.86112826396287,TRUE,DE
ENSMUSG00000031438,Rnf128,1.7920095722514189,4.378355229947802,4.7524690369052464e-17,1.4423064602859293e-14,X,139563316,139673145,109830,+,66889,2070.6666666666665,2750,41.79008370895038,44.5454545454545,70.43681514737023,TRUE,DE
ENSMUSG00000029406,Pitpnm2,-0.5201579587615774,7.075272085563521,6.370640811633392e-17,1.8796929639213856e-14,5,124118690,124249760,131071,-,19679,3709.5,6952,58.62245585658446,60.0402761795167,69.85876433680649,TRUE,DE
ENSMUSG00000002985,Apoe,2.6183219593689597,4.283870999758878,7.094464712555333e-17,2.0366865993719662e-14,7,19696109,19699188,3080,-,11816,869.1818181818181,1408,59.98326534881287,59.5170454545455,69.64649630874817,TRUE,DE
ENSMUSG00000036109,Mbnl3,-0.5937165659294261,5.829152302415445,8.056568949927246e-17,2.252023036477032e-14,X,51117269,51206532,89264,-,171170,2269.4285714285716,4649,41.703386629736876,39.7719939771994,69.39566148900133,TRUE,DE
ENSMUSG00000049103,Ccr2,1.333244265012431,7.930297721566471,8.56221347078747e-17,2.3319956791462692e-14,9,124101950,124113557,11608,+,12772,3626.75,5728,39.21555111325568,39.3854748603352,69.27560441583194,TRUE,DE
ENSMUSG00000017493,Igfbp4,-1.8981879404504638,7.783558061679244,1.1910014942353898e-16,3.1627044679420776e-14,11,99041244,99054392,13149,+,16010,1183,3831,55.86080586080588,55.0509005481598,68.62474639561339,TRUE,DE
ENSMUSG00000024431,Nr3c1,0.5220684898859251,7.43938693023613,2.7245716657962524e-16,7.058634203436047e-14,18,39410545,39519421,108877,-,14815,2648.6666666666665,6436,44.806611292893706,42.200124300808,66.99311390871657,TRUE,DE
ENSMUSG00000030114,Klrg1,0.9740371277589595,8.078900651670217,4.760542710704258e-16,1.2039639207881103e-13,6,122270596,122282882,12287,-,50928,1414,1414,47.6661951909477,47.6661951909477,65.89310451616556,TRUE,DE
ENSMUSG00000095105,Edaradd,1.5786360513024773,2.7674801863688914,5.267529133340194e-16,1.2959009723727962e-13,13,12472632,12520438,47807,-,171211,6668,6668,48.7702459508098,48.7702459508098,65.69365075424545,TRUE,DE
ENSMUSG00000042978,Sbk1,-0.6734426568579405,6.147236637358408,5.368070305441822e-16,1.2959009723727962e-13,7,126248862,126295016,46155,+,104175,1597,4109,61.47463994990611,60.1362862010222,65.65638784610375,TRUE,DE
ENSMUSG00000008206,Cers4,0.5456923559854236,6.479098434116348,5.8651130284048775e-16,1.3844273463937024e-13,8,4493026,4531680,38655,+,67260,2767,9475,48.81741155684054,43.4934036939314,65.48186735330235,TRUE,DE
ENSMUSG00000058624,Gda,1.4273575503764198,6.413899917025246,7.452040074641341e-16,1.7207732537573983e-13,19,21391307,21473445,82139,-,14544,3176.5,5428,42.90099165748468,42.7413411938099,65.00996155108768,TRUE,DE
ENSMUSG00000061436,Hipk2,-0.8700227361962286,6.27142220621948,8.92897365806798e-16,2.0179480467233637e-13,6,38694390,38876165,181776,-,15258,3208.8571428571427,7684,53.46807942302554,53.487766788131196,64.65367214261207,TRUE,DE
ENSMUSG00000032554,Trf,2.014671762958815,3.5539008854022187,1.3660547060225218e-15,3.022965226535672e-13,9,103204001,103230444,26444,-,22041,1076.2222222222222,2571,52.302291967788534,52.4698560871256,63.81591586839854,TRUE,DE
ENSMUSG00000011179,Odc1,0.944219205004362,8.483439387012252,1.4638572552381403e-15,3.1732840337019444e-13,12,17544794,17551505,6712,+,18263,1114.125,2208,49.20902053180746,52.3550724637681,63.67969423868681,TRUE,DE
ENSMUSG00000047821,Trim16,1.0215800437741838,4.751507447107074,2.199187979212727e-15,4.658548783419446e-13,11,62820231,62850808,30578,+,94092,2371.8,3906,50.282485875706186,49.1039426523297,62.87796557421671,TRUE,DE
ENSMUSG00000001020,S100a4,1.3212043930104866,3.095802406802084,2.2367349647372603e-15,4.658548783419446e-13,3,90603771,90606045,2275,+,20198,417,498,49.64028776978417,49.1967871485944,62.84462231742095,TRUE,DE
ENSMUSG00000042228,Lyn,1.0523870820414791,5.373819016070056,3.509618134684863e-15,7.169069966658195e-13,4,3678115,3813122,135008,+,17096,2055.5,3463,46.39990270007299,45.7695639618828,61.957436997039196,TRUE,DE
ENSMUSG00000017737,Mmp9,2.1877493819680303,3.33393507852696,4.144257645628183e-15,8.305717870162747e-13,2,164940780,164955850,15071,+,17395,1294.5,3175,54.13286983391273,55.244094488189,61.630141704065146,TRUE,DE
ENSMUSG00000068227,Il2rb,-0.5006088089675,11.686623063718455,5.5151708078048785e-15,1.084854524453767e-12,15,78479256,78495271,16016,-,16185,3044.5,4194,54.62309081951057,53.934191702432,61.06747823319023,TRUE,DE
ENSMUSG00000050350,Gpr18,-1.3251234703085408,4.3773890710464185,6.708167240900547e-15,1.2955300442335566e-12,14,121911253,121915781,4529,-,110168,1498,1498,48.5981308411215,48.5981308411215,60.68197195723275,TRUE,DE
ENSMUSG00000026883,Dab2ip,1.1485375892314869,3.6257798564715,7.514253205722916e-15,1.425292813414086e-12,2,35558266,35730994,172729,+,69601,4851,6649,58.24334395762966,58.8659948864491,60.458595328863936,TRUE,DE
ENSMUSG00000044583,Tlr7,-1.7476807298350199,3.0741754239718695,9.90958204178288e-15,1.846659306102066e-12,X,167304929,167330558,25630,-,170743,2025.3333333333333,3897,40.96445029624752,40.9545804464973,59.913965024784375,TRUE,DE
ENSMUSG00000040681,Hmgn1,-0.9074566343018744,4.819669161152524,1.4540385583097463e-14,2.6628961321320907e-12,16,96120618,96127729,7112,-,15312,975,2174,47.48717948717949,46.918123275069,59.15938981853303,TRUE,DE
ENSMUSG00000030589,Rasgrp4,1.6496359026449348,3.722523783592684,1.8326748641707348e-14,3.2994360012239907e-12,7,29134851,29153961,19111,+,233046,2799.8571428571427,4621,56.92637379458136,55.8969919930751,58.704011317713906,TRUE,DE
ENSMUSG00000051495,Irf2bp2,0.6106787668662614,6.209979542912665,2.4598954119665636e-14,4.332310302087756e-12,8,126588296,126593986,5691,-,270110,5080,5080,54.5866141732283,54.5866141732283,58.12492670979453,TRUE,DE
ENSMUSG00000015143,Actn1,-0.9522963532562806,5.296944725628174,2.5161625252638704e-14,4.332310302087756e-12,12,80167547,80260371,92825,-,109711,1534.142857142857,3734,53.29174038551078,52.9994643813605,58.08043589877613,TRUE,DE
ENSMUSG00000029810,Tmem176b,1.090562522586686,5.835550486671143,2.528744480601025e-14,4.332310302087756e-12,6,48833818,48841496,7679,-,65963,952.3333333333334,1648,53.42142107105357,53.3980582524272,58.07062349856569,TRUE,DE
ENSMUSG00000031765,Mt1,1.8315165136830194,2.8363575449392506,2.900963550168951e-14,4.89111663966581e-12,8,94179082,94180327,1246,+,17748,755.6666666666666,1085,54.56550507278342,52.9032258064516,57.80049741122065,TRUE,DE
ENSMUSG00000024140,Epas1,1.50205209730862,2.9575345819036802,5.21437620653947e-14,8.654235010290976e-12,17,86753700,86833410,79711,+,13819,2924,5516,52.5478796169631,52.5199419869471,56.647248591304404,TRUE,DE
ENSMUSG00000073643,Wdfy1,0.5450429194506017,4.926510377425099,5.4608540110083524e-14,8.923875585373957e-12,1,79702262,79776143,73882,-,69368,1800.5,4551,48.042210497084106,45.5724016699626,56.55642942132435,TRUE,DE
ENSMUSG00000020689,Itgb3,0.8300192458642138,7.340058751448539,8.474020765318094e-14,1.3638037662001331e-11,11,104608000,104670476,62477,+,16416,5079.5,5784,51.65862781769858,52.0746887966805,55.69251746977178,TRUE,DE
ENSMUSG00000032012,Nectin1,-1.2636285728773904,3.2007005646706936,9.18017197141791e-14,1.4553998012000156e-11,9,43743984,43807461,63478,+,58235,3018.5,5653,59.416928938214355,59.1013621086149,55.535171419330865,TRUE,DE
ENSMUSG00000022555,Dgat1,1.0535918591778621,5.832615652267633,1.0775608782439666e-13,1.6832134777510904e-11,15,76502015,76511953,9939,-,13350,831.6666666666666,1888,54.85971943887777,56.5148305084746,55.22019188707252,TRUE,DE
ENSMUSG00000024190,Dusp1,1.653642558953934,7.017239191485133,1.1216104475838663e-13,1.726629880324033e-11,17,26505590,26562128,56539,-,19252,1493.1666666666667,2313,52.78490903002567,53.9559014267185,55.14144043982202,TRUE,DE
ENSMUSG00000034271,Jdp2,1.1683381623761098,3.8586878435424654,1.3693456217760985e-13,2.077884170643674e-11,12,85599027,85639878,40852,+,81703,1299,1645,56.158583525789076,56.7781155015198,54.74920533584726,TRUE,DE
ENSMUSG00000029275,Gfi1,0.7926117529365757,5.6981934319566125,1.4457433921802464e-13,2.1629135650336024e-11,5,107716657,107726036,9380,-,14581,2209,2860,57.899502037120875,57.3776223776224,54.64250915038571,TRUE,DE
ENSMUSG00000095115,Itpripl2,0.9498131747262133,5.026458926427152,2.0756222228126407e-13,3.062119340377204e-11,7,118485111,118491975,6865,-,319622,6865,6865,50.6045156591406,50.6045156591406,53.93188179991035,TRUE,DE
ENSMUSG00000020644,Id2,0.9192911294990666,5.8511098285115155,2.3525672752893673e-13,3.4231465202909123e-11,12,25093799,25097140,3342,-,15902,1399,1969,45.937574457946155,45.1498222447943,53.68580648130135,TRUE,DE
ENSMUSG00000044393,Dsg2,1.9294640684270132,2.3669821343990347,2.6536673727941207e-13,3.809088491056642e-11,18,20558074,20604521,46448,+,13511,3436.3333333333335,5766,46.153846153846125,47.485258411377004,53.44920129322753,TRUE,DE (not in Spleen)
ENSMUSG00000030616,Sytl2,0.8597804411061447,6.372904548944674,2.854075691886737e-13,4.04213226656279e-11,7,90302252,90410719,108468,+,83671,2930.35,7447,44.90077977033459,45.0114139922116,53.30617776905173,TRUE,DE
ENSMUSG00000029378,Areg,1.4923496539267675,2.7192669791982182,4.360451098983209e-13,6.09430415439469e-11,5,91139599,91148432,8834,+,11839,1215,1215,48.3950617283951,48.3950617283951,52.47371698843887,TRUE,DE
ENSMUSG00000020949,Fkbp3,0.5083696864118629,6.605685634899558,4.601438234667607e-13,6.347594406316795e-11,12,65062424,65074007,11584,-,30795,1372.9166666666667,6939,40.58270106221547,38.3340538982562,52.368075020780935,TRUE,DE
ENSMUSG00000029771,Irf5,0.4987608607862748,5.573051443025341,5.113512154111775e-13,6.963554628330164e-11,6,29526625,29541871,15247,+,27056,1213,2241,56.636438582028035,55.6894243641232,52.16086558438691,TRUE,DE
ENSMUSG00000011831,Evi5,1.5167056074318135,2.4461484791567765,5.392328640687325e-13,7.250293015364654e-11,5,107744795,107875107,130313,-,14020,1452.1538461538462,5849,43.8552812797966,40.8616857582493,52.05661424006114,TRUE,DE
ENSMUSG00000063889,Crem,0.9281067541665977,6.478543194593124,5.81195771100187e-13,7.716826850782733e-11,18,3266048,3337748,71701,-,12916,1299.5384615384614,2931,43.79069492127383,43.1934493346981,51.90946496272862,TRUE,DE
ENSMUSG00000020009,Ifngr1,0.8925751696318043,9.92157019193263,5.974373206068418e-13,7.834542246278857e-11,10,19591949,19610229,18281,+,15979,1045.5,2112,47.74430097242149,48.4375,51.855347793115435,TRUE,DE
ENSMUSG00000004508,Gab2,0.9864943927242827,3.8659407470020466,6.361156695580782e-13,8.240025173226715e-11,7,97081586,97308946,227361,+,14389,4116.5,6168,52.08308028665127,51.1835278858625,51.73217972153534,TRUE,DE
ENSMUSG00000041362,Shtn1,1.927212261965495,2.189344243231634,7.602222143494087e-13,9.729012482914963e-11,19,58973356,59076100,102745,-,71653,3541.3333333333335,3974,47.882153614457806,48.4901862103674,51.38226508923844,TRUE,DE (not in Spleen)
ENSMUSG00000040811,Eml2,0.5248653646058123,5.83937707262126,8.752993812423697e-13,1.1068369080424347e-10,7,19176421,19206482,30062,+,72205,1424.25,2765,58.258732666315595,61.3381555153707,51.10556173318694,FALSE,not DE
ENSMUSG00000005417,Mprip,0.50196915513741,7.470064922108547,9.130116600510168e-13,1.1409423356543413e-10,11,59661305,59780860,119556,+,26936,4446.222222222223,8766,53.276189524190336,51.2890714122747,51.022759858166395,FALSE,not DE
ENSMUSG00000078920,Ifi47,-0.6697397049128241,7.876718389158681,9.275051708920827e-13,1.145576735490198e-10,11,49076587,49096974,20388,+,15953,1316.2,1773,46.17839234158945,45.7416807670615,50.99184479191424,FALSE,not DE
ENSMUSG00000033355,Rtp4,-1.05755458410595,4.123669924281167,9.87087712581224e-13,1.2051546762112368e-10,16,23520291,23614222,93932,+,67775,1220.8,1859,47.37876802096989,48.951048951049,50.86963710030119,TRUE,DE
ENSMUSG00000098557,Kctd12,1.0885561971715698,4.207115123313352,1.0735129744353725e-12,1.2957789561877873e-10,14,102976581,102982637,6057,-,239217,3298,6057,44.329896907216494,45.1873864949645,50.70489849043098,TRUE,DE
ENSMUSG00000022353,Mtss1,-1.021300970947297,3.6823712688280335,1.217407332526594e-12,1.4529551332693799e-10,15,58941234,59082005,140772,-,211401,1870.5833333333333,4938,52.292065754889286,49.6557310652086,50.4580287983045,TRUE,DE
ENSMUSG00000003518,Dusp3,0.8050495701149806,3.8390131627873894,1.3791795136301164e-12,1.6277383104198998e-10,11,101971143,101987013,15871,-,72349,2625.5714285714284,4445,49.66537896512327,49.2913385826772,50.21318594337023,FALSE,not DE
ENSMUSG00000032224,Fam81a,-0.9068701174813695,2.999275771884759,1.47098964932139e-12,1.7170167093507478e-10,9,70088511,70142560,54050,-,76886,1289,3703,48.89449185415047,48.3661895760194,50.08672258334221,FALSE,not DE
ENSMUSG00000026558,Uck2,-0.40837038014486604,7.364314823293352,2.2484583868029087e-12,2.5959918461544017e-10,1,167222883,167285320,62438,-,80914,1319.7142857142858,4731,53.90777224507469,53.8152610441767,49.25424859172874,FALSE,not DE
ENSMUSG00000020303,Stc2,1.2302253887628931,4.883709736729371,2.5555929018417282e-12,2.918871806813208e-10,11,31357307,31370074,12768,-,20856,1879.8,3982,49.718055112246,50.5022601707685,49.003092330350306,TRUE,DE
ENSMUSG00000032327,Stra6,-1.4318303644250112,3.4157041448665706,2.7255121265390355e-12,3.0798287029891104e-10,9,58063788,58153996,90209,+,20897,1375.0714285714287,3077,56.54771180717886,56.2560935976601,48.87683201456266,TRUE,DE
ENSMUSG00000004364,Cul3,-0.4358757358095292,7.347053369818388,2.8864263536565084e-12,3.227328497740993e-10,1,80264923,80340480,75558,-,26554,1584.5,4709,39.002840012622265,38.543215119983,48.764324878305466,FALSE,not DE
ENSMUSG00000049882,Vcpkmt,0.6910790424224134,4.4508029479985165,2.9497015292021186e-12,3.2637218378317606e-10,12,69577628,69583110,5483,-,207965,1363.4,3340,48.65776734634005,43.5928143712575,48.72179519374443,FALSE,not DE
ENSMUSG00000038400,Pmepa1,0.8717297501256518,5.117536521658164,3.1497610541702253e-12,3.449150713133622e-10,2,173224458,173276533,52076,-,65112,1952.6666666666667,4538,55.9576647319904,54.517408550022,48.593096013324526,FALSE,not DE
ENSMUSG00000017897,Eya2,0.9816280867130983,4.042882754820571,3.962955402705419e-12,4.2953583966874443e-10,2,165595032,165771727,176696,+,14049,1237,2460,56.143896523848014,54.9593495934959,48.14273006409346,FALSE,not DE
ENSMUSG00000020841,Cpd,1.170956862404718,6.142956822144727,4.014336557785185e-12,4.30709928452467e-10,11,76778424,76847018,68595,-,12874,2928,7946,45.617030965391606,45.6581928014095,48.11747097375448,TRUE,DE
ENSMUSG00000038418,Egr1,-0.9491166452984929,5.740262709266656,4.289675759582036e-12,4.5564935918280384e-10,18,34859823,34864984,5162,+,13653,3760,4484,55.81117021276598,57.3148974130241,47.98739731627996,FALSE,not DE
ENSMUSG00000021591,Glrx,0.6577616247274228,6.855875097937443,4.348733732388648e-12,4.573490069844774e-10,13,75839868,75850154,10287,+,93692,1849.75,4228,46.6414380321665,46.5941343424787,47.960587851908215,FALSE,not DE
ENSMUSG00000051236,Msrb3,2.0264514530697224,2.458324363101468,4.721246958279879e-12,4.916576979494988e-10,10,120781096,120899101,118006,-,320183,1766.6666666666667,3843,46.339622641509415,45.5893832943013,47.79944903621572,TRUE,DE
ENSMUSG00000030798,Cd37,0.5005431510132937,8.670587308192841,5.235286573767826e-12,5.398952814229306e-10,7,45233632,45239115,5484,-,12493,1069.6666666666667,2541,57.016723797652425,57.2609208972845,47.59683768900908,FALSE,not DE
ENSMUSG00000025473,Adam8,1.8791517470736188,5.535393921063512,5.45113495877576e-12,5.548239153850503e-10,7,139978932,139992562,13631,-,11501,2069.125,3669,55.095753035703495,54.9195966203325,47.5176349703832,TRUE,DE
ENSMUSG00000029530,Ccr9,1.6218984818783218,3.6462574830795975,5.484514320789896e-12,5.548239153850503e-10,9,123678439,123784330,105892,+,12769,3793.1666666666665,5197,43.66184806010809,43.8137386954012,47.505667803031365,TRUE,DE
ENSMUSG00000036181,Hist1h1c,1.130838530717353,3.4541146747623497,5.9012309018658125e-12,5.913478739586666e-10,13,23738808,23740367,1560,+,50708,1560,1560,55.064102564102605,55.0641025641026,47.362113474987304,TRUE,DE
ENSMUSG00000040451,Sgms1,0.8761574387094166,5.332925232205887,6.013332975668652e-12,5.969497464257235e-10,19,32122727,32389714,266988,-,208449,1736.4,4036,46.58680795515625,43.5332011892963,47.32522629885132,FALSE,not DE
ENSMUSG00000020262,Adarb1,1.1315874414277707,2.839754606150388,6.786189004865302e-12,6.674342556451781e-10,10,77290726,77418270,127545,-,110532,3863.3076923076924,6662,52.235031758357714,52.9720804563194,47.088232815507055,TRUE,DE
ENSMUSG00000031565,Fgfr1,2.266128147161,1.5983407086759198,6.954975764403401e-12,6.777591978852562e-10,8,25513654,25575718,62065,+,14182,2254.8947368421054,5041,54.8747753425297,55.425510811347,47.0400808186133,TRUE,DE (not in Spleen)
ENSMUSG00000071648,Rom1,-0.8133593900563022,5.7326123775515825,7.127298521109636e-12,6.882378626475142e-10,19,8927391,8929356,1966,-,19881,1517,1517,57.0863546473303,57.0863546473303,46.992111827783724,FALSE,not DE
ENSMUSG00000026068,Il18rap,1.117066880691749,6.2463996838390665,7.732935303348335e-12,7.399931422717659e-10,1,40515362,40551705,36344,+,16174,2349.25,4889,44.80153240395874,45.0807936183269,46.83227467899695,TRUE,DE
ENSMUSG00000005087,Cd44,0.8529341462237112,6.956823222766799,1.0387814212804064e-11,9.851728800750425e-10,2,102811141,102901665,90525,-,12505,2793.3333333333335,5614,46.53142402545745,44.531528322052,46.25392690084417,FALSE,not DE
ENSMUSG00000032741,Tpcn1,-0.409987368167997,6.108018443335633,1.2382491559135322e-11,1.1639542065587202e-9,5,120534153,120588673,54521,-,252972,2620.5,4712,55.68593779813012,56.3667232597623,45.909800807691916,FALSE,not DE
ENSMUSG00000048537,Phldb1,1.536850101949197,3.818359582871862,1.3390841596280818e-11,1.247697538909604e-9,9,44686304,44735198,48895,-,102693,2549.6111111111113,5600,59.76946375264203,59.9464285714286,45.75643965043468,TRUE,DE
ENSMUSG00000031488,Rab11fip1,0.4989236770237266,6.2645771616589245,1.366769063106796e-11,1.2624192163756857e-9,8,27138773,27174646,35874,-,75767,3202.6666666666665,7965,52.86740216486262,51.023226616447,45.71635402094346,FALSE,not DE
ENSMUSG00000031808,Slc27a1,1.090241288020526,3.0539588216118916,1.3921200018929592e-11,1.2747498844919839e-9,8,71568882,71587302,18421,+,26457,1766.3333333333333,3207,58.382084670063534,56.9067664483941,45.680354257279035,TRUE,DE
ENSMUSG00000024042,Sik1,0.9062154863396272,5.002651713717274,1.4253609270700554e-11,1.2940328006271905e-9,17,31844250,31855804,11555,-,17691,2057,4521,56.52649489547881,54.9878345498783,45.63413189472409,FALSE,not DE
ENSMUSG00000022019,Tdrd3,0.7879221917510109,6.229761997957887,1.687243240873724e-11,1.5188048902170082e-9,14,87416639,87545504,128866,+,219249,2103.5,5280,43.245384676333096,40.0757575757576,45.30376662361947,FALSE,not DE
